Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio,Demand_Supply_Difference,Cost_per_Minute,Possible_Surge_Condition
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,2.0,45,3.1584141446875806,False
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,1.4871794871794872,19,4.043598901149015,False
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1.3548387096774193,11,4.3394140652927184,False
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,3.1785714285714284,61,3.5089644160546256,False
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,3.5454545454545454,56,3.890479344724927,False
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,1.6857142857142857,24,2.6559012547243914,False
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,2.1627906976744184,50,6.50384632959947,False
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355604996,1.5897435897435896,23,5.017273692681914,False
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,5.642857142857143,65,3.917285292838325,True
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.99336457061025,7.0,36,3.1171356607078926,True
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,5.0588235294117645,69,4.007776206382504,True
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,1.5789473684210527,22,2.881875727309202,False
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,3.0,16,2.9903092787701473,False
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,1.5,12,3.5691912770111114,False
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,4.846153846153846,50,3.206753577173897,True
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,3.25,27,3.1795490601708036,False
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,1.3571428571428572,10,4.528447626493441,False
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,3.2857142857142856,32,3.154287242241127,False
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,4.714285714285714,26,5.900375586790745,True
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,4.428571428571429,24,4.4017024174695525,True
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,2.1333333333333333,51,7.524799380221799,False
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,2.0,11,4.271411503667104,False
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,4.625,58,2.8105666606392474,True
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375455,2.0,12,4.714811666083435,False
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,2.526315789473684,29,3.625509749315601,False
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,4.3076923076923075,43,2.5096141855147582,True
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,2.1818181818181817,39,6.08248090198839,False
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,1.2933333333333332,22,4.130489223418234,False
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,1.878787878787879,29,3.1257914602280614,False
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,1.5,19,4.105227934754559,False
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,3.5714285714285716,18,3.5324870686874634,False
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,1.3392857142857142,19,3.170291917226383,False
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,4.333333333333333,30,3.564291323251773,True
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,1.4583333333333333,11,4.627413845065249,False
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,2.125,36,3.8276998243868503,False
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,2.2325581395348837,53,4.316909015472724,False
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,2.5454545454545454,17,4.852988795603188,False
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873478,1.6666666666666667,10,4.975537829577701,False
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,4.666666666666667,22,2.744018670257525,True
